cluster,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,anticipation,joy,surprise,trust,anger,disgust,fear,sadness,positive
Jazz_cluster_1,0.6498899923009777,0.4114404796147849,0.4902070321475712,0.22533361515693878,0.5913400402211112,0.1364887054262181,0.4337830588235295,0.4683209542526324,0.44682609318607935,0.3712732466623915,0.20599953128661827,0.3267924801287674,0.294622062738743,0.13680481756996102,0.16765133055452724,0.17206990405667574,0.17997214170086212,0.21391489509437456
Jazz_cluster_2,0.23590363895198993,0.04370432408182918,0.10331179852211998,0.039531347225606105,0.9621886387248683,0.16018009230640357,0.22577558823529414,0.08463712258930707,0.3027354791481217,0.04074177986358073,0.049654323880946816,0.020884807755831323,0.0,0.0,0.0,0.0,0.0,0.010357477635949136
Metal_cluster_1,0.0,0.940339562202598,0.9423753022908582,0.1962610094444886,0.02290776619363578,0.21903389102823514,0.3339714685314686,0.012329435909907899,0.7499768390558866,0.11216995756143429,0.0,0.06653300401209289,0.09097769794609707,0.18767610159746184,0.17276256963740053,0.2832795762972461,0.22698207229321934,0.01794683773829949
Metal_cluster_2,0.1579126872313846,1.0,1.0,0.2847226763400132,0.0,0.08309189899962316,0.37630670103092784,0.1768592366020822,0.7616418794065103,0.5459160085008123,0.26747648580933997,0.5150325735981159,0.5433520727747461,0.5788351209322539,0.6161769733845707,0.8162644383747961,0.7502859376134,0.34776726951167325
Motown_cluster_1,0.7225474755101055,0.6798990023561775,0.6036707198836434,0.054326215546258466,0.504558861289903,0.16187924713533355,1.0,0.9190505604342124,0.4451018121707304,0.5687148992401718,1.0,0.5630589490627288,0.8121387506270016,0.19171881764867948,0.01826818293777958,0.09035170892159716,0.1296163836916011,1.0
Motown_cluster_2,0.6725243867825346,0.38139182028288005,0.44324574239592257,0.034841174517479166,0.642129256199049,0.030114235415275168,0.12970285714285718,0.7644872888639775,0.7330480426153864,0.0,0.23221400113830393,0.1286808446872469,0.08003461599942673,0.047956412462257306,0.03355724681185971,0.09938748380940444,0.1510712179311359,0.1896798853320593
Pop_cluster_1,0.7908171264815563,0.6868681528554654,0.8603469482163225,0.22494572133036295,0.21241518964386807,0.022380468753733736,0.29184874585896825,0.566347239352738,0.5155553254244941,0.5199883490610067,0.5066133949766481,0.5663891108195502,0.5541002904152451,0.328686559712751,0.3584046309229945,0.48186865092712533,0.4893059689562103,0.48317056595488855
Pop_cluster_2,0.48814490495003865,0.4649280803966299,0.6412665983286733,0.08308592095155017,0.450073688925482,0.07794900618496099,0.19479819590701378,0.22650842659569811,0.5194353272865713,0.12496984717514553,0.09903244166192375,0.09039946793619183,0.09932147099889657,0.059449151716277945,0.055310671489445226,0.10770921655473106,0.09817266800327043,0.08518693014067026
R&B_cluster_1,0.8252024997347324,0.5462712925391331,0.7554984825586384,0.3206151918998839,0.2410360016305107,0.015216903986486783,0.20518457142857144,0.48683663258393095,0.5603853732205989,0.589655599603568,0.8197495731360273,0.6814123075690891,0.8729575182312769,0.39918020343100047,0.40573674454661046,0.5031634061822841,0.5592494393382847,0.8224445631095249
R&B_cluster_2,0.7574839646388356,0.38283618531473484,0.6053546565080198,0.21651736116632628,0.41354863305208095,0.03303549291573832,0.15254874251497008,0.32396172898893805,0.33518535287727047,0.18242701910351747,0.21571200229024026,0.12583373136353643,0.18848817008880722,0.08408475291712007,0.07818849614487808,0.15979977949369906,0.13759771050076935,0.20233819200081055
Rap_cluster_1,0.6220032210143494,0.6097296215826924,0.5599991511109799,0.22386476741290393,0.17342424882962934,1.0,0.228846,0.10471955767408679,0.6585463495933068,0.1334117938553023,0.04302788844621513,0.16654217946051525,0.15908477061388282,0.1665603967410556,0.15625198440135282,0.1674022256921721,0.15308260864109227,0.09376352547708049
Rap_cluster_2,0.9582186849701675,0.6161910144042725,0.8169640505029183,0.6949639062316127,0.21662104863200923,0.004803904193325168,0.2995667164179105,0.36052292729567936,0.4765870665561707,0.46181474934544336,0.27078254147588754,0.4790777950338013,0.49256864191601324,0.5510392305798908,0.568275141184073,0.5704155629931092,0.5261839105992207,0.3644604050375704
Rock_cluster_1,0.363341148140717,0.7613661883661517,0.7862250526671418,0.1605932478149294,0.16272570492842126,0.07442052739312381,0.3484169230769232,0.44652733774472814,0.710945147017123,0.5043868008436889,0.3532791909285934,0.502214406895789,0.4898171777162401,0.34203111801411484,0.35209901221913703,0.4778821926675169,0.4617296535152199,0.35518394648829427
Rock_cluster_2,0.25690216217594264,0.5982565606270123,0.6034621166762988,0.05981809955269914,0.29488981911697587,0.15945491167169978,0.3113257570093458,0.3128023177089995,0.643525350538775,0.09750358919259376,0.03477529135793277,0.06267325704319236,0.0640203871525167,0.06211367902509758,0.06271506339265218,0.10262562301728645,0.07099556066263675,0.026833002072144476
Soul_cluster_1,0.5941187855687058,0.3745998431949125,0.49218762446380443,0.08545381149269661,0.5501076366364397,0.05624669941423801,0.16039866220735788,0.4554375618111295,0.4383229170526397,0.17149500648014027,0.21953656944129837,0.0972082604615873,0.12895715587049628,0.043253162922340015,0.044448787297408435,0.09547674329472106,0.08318622088183868,0.17282146468949883
Soul_cluster_2,0.8967265331661065,0.5878066464293196,0.6469616732963388,0.22434306168692195,0.3108213979389213,0.033379586928746235,0.24210911392405055,0.7434674822433259,0.3566040396566354,0.678193724830952,0.8300721165969035,0.736390376189295,0.7198820186935607,0.38225337081926486,0.35985296442830417,0.5019889634048642,0.5662663922454237,0.7609106552743446
