Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank
"['classic soul', 'chicago soul', 'southern soul', 'northern soul']",1962,13
"['doo-wop', 'rock-and-roll', 'surf music', 'classic garage rock', 'rockabilly', 'bubblegum pop', 'merseybeat', 'rhythm and blues']",1962,14
"['soft rock', 'adult standards', 'rockabilly', 'bubblegum pop', 'easy listening', 'brill building pop']",1962,15
"['cowboy western', 'western swing']",1962,16
"['rockabilly', 'rock-and-roll']",1962,17
"['doo-wop', 'nashville sound', 'merseybeat', 'rock-and-roll']",1962,18
"['classic soul', 'soul', 'motown']",1962,19
"['rockabilly', 'rock-and-roll']",1962,20
"['dixieland', 'new orleans jazz']",1962,21
"['classic garage rock', 'bubblegum pop', 'merseybeat', 'rock-and-roll']",1962,22
"['vocal jazz', 'classic soul', 'soul']",1962,23
"['classic girl group', 'doo-wop', 'rhythm and blues']",1962,24
['doo-wop'],1962,25
"['easy listening', 'lounge', 'rockabilly', 'adult standards']",1962,26
"['soul', 'classic girl group', 'classic soul', 'motown']",1962,27
"['lounge', 'swing', 'adult standards', 'vocal jazz', 'soul']",1962,28
"['doo-wop', 'bubblegum pop', 'merseybeat', 'rock-and-roll']",1962,29
"['doo-wop', 'rock-and-roll', 'classic garage rock', 'bubblegum pop', 'merseybeat']",1962,30
"['rock-and-roll', 'adult standards', 'rockabilly', 'easy listening', 'brill building pop']",1962,31
"['doo-wop', 'rhythm and blues']",1962,32
['deep adult standards'],1962,33
[],1962,34
[],1962,35
[],1962,36
[],1962,37
"['classic soul', 'quiet storm', 'motown', 'funk', 'soul']",1962,38
[],1962,39
[],1962,40
"['doo-wop', 'rhythm and blues']",1962,41
['new orleans soul'],1962,42
"['rock-and-roll', 'rockabilly', 'doo-wop', 'adult standards']",1962,43
"['doo-wop', 'rock-and-roll', 'classic girl group', 'motown', 'soul']",1962,44
"['rock-and-roll', 'easy listening', 'rockabilly', 'adult standards']",1962,45
['american folk revival'],1962,46
"['folk rock', 'rock-and-roll', 'adult standards', 'rockabilly', 'mellow gold', 'sunshine pop']",1962,47
['swing italiano'],1962,48
[],1962,49
"['doo-wop', 'rhythm and blues']",1962,50
[],1962,51
"['vocal jazz', 'classic soul', 'soul']",1962,52
"['instrumental soul', 'classic soul', 'instrumental funk', 'memphis soul', 'blues', 'southern soul', 'soul']",1962,53
"['classic soul', 'piano blues', 'vocal jazz', 'jazz blues', 'soul blues', 'soul']",1962,54
"['lounge', 'doo-wop', 'rock-and-roll', 'northern soul', 'adult standards', 'rockabilly', 'bubblegum pop']",1962,55
['deep adult standards'],1962,56
"['rockabilly', 'rock-and-roll']",1962,57
['doo-wop'],1962,58
"['hammond organ', 'jazz organ']",1962,59
"['classic soundtrack', 'easy listening', 'adult standards']",1962,60
"['classic country pop', 'novelty']",1962,61
"['lounge', 'rock-and-roll', 'adult standards', 'vocal jazz', 'easy listening']",1962,62
"['rock-and-roll', 'adult standards', 'rockabilly', 'merseybeat', 'brill building pop']",1962,63
['doo-wop'],1962,64
"['folk rock', 'singer-songwriter', 'rock-and-roll', 'adult standards', 'classic rock', 'mellow gold', 'rockabilly']",1962,65
